isoform_id	chrom	start	end	strand	sel_block_count	sel_block_sizes	sel_block_starts	bsj_id	type
chr21:26838438-26838614:-|176|0	chr21	26838438	26838614	-	1	176	0	chr21:26838438-26838614:-	eciRNA
chr21:32573283-32573368:-|85|0	chr21	32573283	32573368	-	1	85	0	chr21:32573283-32573368:-	eciRNA
chr21:33595730-33595836:.|106,|0,	chr21	33595730	33595836	.	1	106,	0,	chr21:33595730-33595836:.	intergenic
chr21:41403266-41403343:+|77|0	chr21	41403266	41403343	+	1	77	0	chr21:41403266-41403343:+	eciRNA
chr21:41980590-41980700:+|110|0	chr21	41980590	41980700	+	1	110	0	chr21:41980590-41980700:+	intergenic
chr21:42406307-42413208:.|54,155,185|0,3146,6716	chr21	42406307	42413208	.	3	54,155,185	0,3146,6716	chr21:42406307-42413208:.	intergenic
chr21:42760824-42760907:+|83|0	chr21	42760824	42760907	+	1	83	0	chr21:42760824-42760907:+	eciRNA
chr21:42768187-42772520:+|105,129,96,82|0,839,2515,4251	chr21	42768187	42772520	+	4	105,129,96,82	0,839,2515,4251	chr21:42768187-42772520:+	eciRNA
chr21:42768187-42772520:.|iso1|105,129,96,76|0,839,2515,4257	chr21	42768187	42772520	.	4	105,129,96,76	0,839,2515,4257	chr21:42768187-42772520:.|iso1	intergenic
chr21:43041967-43042126:-|159|0	chr21	43041967	43042126	-	1	159	0	chr21:43041967-43042126:-	intergenic
chr21:43425523-43426022:-|499|0	chr21	43425523	43426022	-	1	499	0	chr21:43425523-43426022:-	ciRNA
chr21:44258522-44259711:-|172,113,80|0,914,1109	chr21	44258522	44259711	-	3	172,113,80	0,914,1109	chr21:44258522-44259711:-	eciRNA
chr21:44787919-44788095:-|176|0	chr21	44787919	44788095	-	1	176	0	chr21:44787919-44788095:-	EIciRNA
chr21:46353986-46354068:+|82|0	chr21	46353986	46354068	+	1	82	0	chr21:46353986-46354068:+	eciRNA
chr21:6112239-6112738:+|499|0	chr21	6112239	6112738	+	1	499	0	chr21:6112239-6112738:+	ciRNA
