#chrom	start	end	strand	bsj_id	sel_block_count	sel_block_sizes	sel_block_starts	bsj_confidence	isoform_confidence	n_samples	type	supporting_tools	chr21_smoke_b_bsj_consensus	chr21_smoke_b_isoform_consensus	chr21_smoke_a_bsj_consensus	chr21_smoke_a_isoform_consensus	chr21_smoke_b_reads	chr21_smoke_a_reads
chr21	6112239	6112738	+	chr21:6112239-6112738:+	1	499	0	2	2	2	ciRNA	isocirc,circfl,cirilong	High	High	High	High	6	6
chr21	26838438	26838614	-	chr21:26838438-26838614:-	1	176	0	2	2	2	eciRNA	isocirc,circfl,circnick,cirilong	High	High	High	High	84	84
chr21	32573283	32573368	-	chr21:32573283-32573368:-	1	85	0	2	2	2	eciRNA	isocirc,cirilong	Medium	Medium	Medium	Medium	16	16
chr21	33595730	33595836	.	chr21:33595730-33595836:.	1	106,	0,	2	2	2	intergenic	circnick,cirilong	Medium	Medium	Medium	Medium	5	5
chr21	41403266	41403343	+	chr21:41403266-41403343:+	1	77	0	2	2	2	eciRNA	isocirc,cirilong	Medium	Medium	Medium	Medium	136	136
chr21	41980590	41980700	+	chr21:41980590-41980700:+	1	110	0	2	2	2	intergenic	circfl,cirilong	Medium	Medium	Medium	Medium	37	37
chr21	42406307	42413208	.	chr21:42406307-42413208:.	3	54,155,185	0,3146,6716	2	2	2	intergenic	circfl,cirilong	Medium	Medium	Medium	Medium	83	83
chr21	42760824	42760907	+	chr21:42760824-42760907:+	1	83	0	2	2	2	eciRNA	isocirc,circfl,circnick,cirilong	High	High	High	High	98	98
chr21	42768187	42772520	+	chr21:42768187-42772520:+	4	105,129,96,82	0,839,2515,4251	2	2	2	eciRNA	isocirc,circfl,circnick,cirilong	High	Medium	High	Medium	17	17
chr21	42768187	42772520	.	chr21:42768187-42772520:.|iso1	4	105,129,96,76	0,839,2515,4257	2	2	2	intergenic	isocirc,circfl,circnick,cirilong	High	Low	High	Low	12	12
chr21	43041967	43042126	-	chr21:43041967-43042126:-	1	159	0	2	2	2	intergenic	isocirc,circfl,cirilong	High	High	High	High	11	11
chr21	43425523	43426022	-	chr21:43425523-43426022:-	1	499	0	2	2	2	ciRNA	circfl,cirilong	Medium	Medium	Medium	Medium	6	6
chr21	44258522	44259711	-	chr21:44258522-44259711:-	3	172,113,80	0,914,1109	2	2	2	eciRNA	isocirc,circfl,circnick,cirilong	High	High	High	High	103	103
chr21	44787919	44788095	-	chr21:44787919-44788095:-	1	176	0	2	2	2	EIciRNA	isocirc,circfl,circnick,cirilong	High	High	High	High	12	12
chr21	46353986	46354068	+	chr21:46353986-46354068:+	1	82	0	2	2	2	eciRNA	isocirc,circnick,cirilong	High	High	High	High	8	8
