isoform_id	chr21_smoke_b	chr21_smoke_a
chr21:15791490-15799817:.|160,61|0,8266	3	3
chr21:15791490-15799817:.|iso1|165,61|0,8266	90	90
chr21:15791501-15791664:+|163|0	0	0
chr21:15791501-15799843:+|163,87|0,8255	68	68
chr21:15791501-15799843:.|iso1|197,25,87|0,5690,8255	5	5
chr21:26838438-26838614:-|176|0	84	84
chr21:26977870-26978228:.|358,|0,	0	0
chr21:26977876-26978232:+|356|0	4	4
chr21:32573283-32573368:-|85|0	16	16
chr21:33595730-33595836:.|106,|0,	5	5
chr21:33595734-33595815:+|81,|0,	3	3
chr21:36043781-36058973:-|175,89,38,96,94,158|0,4526,9801,13327,13602,15034	187	187
chr21:36709180-36709250:.|70,|0,	0	0
chr21:36930249-36930417:.|168,|0,	0	0
chr21:36930250-36930423:-|173|0	6	6
chr21:41403266-41403311:.|45,|0,	0	0
chr21:41403266-41403343:+|77|0	136	136
chr21:41980590-41980700:+|110|0	37	37
chr21:42395953-42396089:+|136,|0,	34	34
chr21:42406307-42413208:.|54,155,185|0,3146,6716	83	83
chr21:42760824-42760907:+|83|0	98	98
chr21:42768187-42772520:+|105,129,96,82|0,839,2515,4251	17	17
chr21:42768187-42772520:.|iso1|105,129,96,76|0,839,2515,4257	12	12
chr21:43041967-43042126:-|159|0	11	11
chr21:43425523-43426022:-|499|0	6	6
chr21:44258522-44259711:-|172,113,80|0,914,1109	103	103
chr21:44787919-44788095:-|176|0	12	12
chr21:45749392-45749475:.|83,|0,	18	18
chr21:45749420-45749509:+|89,|0,	0	0
chr21:46227551-46227675:-|124,|0,	9	9
chr21:46245197-46246306:-|1109,|0,	8	8
chr21:46353986-46354068:+|82|0	8	8
chr21:6112239-6112738:+|499|0	6	6
