#chrom	start	end	strand	bsj_id	sel_block_count	sel_block_sizes	sel_block_starts	bsj_confidence	isoform_confidence	n_samples	type	supporting_tools	chr21_smoke_b_bsj_consensus	chr21_smoke_b_isoform_consensus	chr21_smoke_a_bsj_consensus	chr21_smoke_a_isoform_consensus	chr21_smoke_a_reads	chr21_smoke_b_reads
chr21	6112239	6112738	+	chr21:6112239-6112738:+	1	499	0	2	2	2	ciRNA	isocirc,circfl,cirilong	High	High	High	High	6	6
chr21	15791490	15799817	.	chr21:15791490-15799817:.	2	160,61	0,8266	2	2	2	intergenic	isocirc	Low	Low	Low	Low	3	3
chr21	15791490	15799817	.	chr21:15791490-15799817:.|iso1	2	165,61	0,8266	2	2	2	intergenic	isocirc	Low	Low	Low	Low	90	90
chr21	15791501	15791664	+	chr21:15791501-15791664:+	1	163	0	2	2	2	eciRNA	circfl	Low	Low	Low	Low	0	0
chr21	15791501	15799843	+	chr21:15791501-15799843:+	2	163,87	0,8255	2	2	2	eciRNA	circfl,circnick	Medium	Low	Medium	Low	68	68
chr21	15791501	15799843	.	chr21:15791501-15799843:.|iso1	3	197,25,87	0,5690,8255	2	2	2	intergenic	circfl,circnick	Medium	Low	Medium	Low	5	5
chr21	15791501	15799843	.	chr21:15791501-15799843:.|iso2	1	8342,	0,	2	2	2	intergenic	circfl,circnick	Medium	Low	Medium	Low	5	5
chr21	26838438	26838614	-	chr21:26838438-26838614:-	1	176	0	2	2	2	eciRNA	isocirc,circfl,circnick,cirilong	High	High	High	High	84	84
chr21	26977870	26978228	.	chr21:26977870-26978228:.	1	358,	0,	2	2	2	intergenic	cirilong	Low	Low	Low	Low	0	0
chr21	26977876	26978232	+	chr21:26977876-26978232:+	1	356	0	2	2	2	intergenic	circfl	Low	Low	Low	Low	4	4
chr21	32573283	32573368	-	chr21:32573283-32573368:-	1	85	0	2	2	2	eciRNA	isocirc,cirilong	Medium	Medium	Medium	Medium	16	16
chr21	33595730	33595836	.	chr21:33595730-33595836:.	1	106,	0,	2	2	2	intergenic	circnick,cirilong	Medium	Medium	Medium	Medium	5	5
chr21	33595734	33595815	+	chr21:33595734-33595815:+	1	81,	0,	2	2	2	antisense	cirilong	Low	Low	Low	Low	3	3
chr21	36043781	36058973	-	chr21:36043781-36058973:-	6	175,89,38,96,94,158	0,4526,9801,13327,13602,15034	2	2	2	eciRNA	circfl	Low	Low	Low	Low	187	187
chr21	36709180	36709250	.	chr21:36709180-36709250:.	1	70,	0,	2	2	2	intergenic	cirilong	Low	Low	Low	Low	0	0
chr21	36930249	36930417	.	chr21:36930249-36930417:.	1	168,	0,	2	2	2	intergenic	cirilong	Low	Low	Low	Low	0	0
chr21	36930250	36930423	-	chr21:36930250-36930423:-	1	173	0	2	2	2	eciRNA	isocirc	Low	Low	Low	Low	6	6
chr21	41403266	41403311	.	chr21:41403266-41403311:.	1	45,	0,	2	2	2	intergenic	cirilong	Low	Low	Low	Low	0	0
chr21	41403266	41403343	+	chr21:41403266-41403343:+	1	77	0	2	2	2	eciRNA	isocirc,cirilong	Medium	Medium	Medium	Medium	136	136
chr21	41980590	41980700	+	chr21:41980590-41980700:+	1	110	0	2	2	2	intergenic	circfl,cirilong	Medium	Medium	Medium	Medium	37	37
chr21	42395953	42396089	+	chr21:42395953-42396089:+	1	136,	0,	2	2	2	antisense	cirilong	Low	Low	Low	Low	34	34
chr21	42406307	42413208	.	chr21:42406307-42413208:.	3	54,155,185	0,3146,6716	2	2	2	intergenic	circfl,cirilong	Medium	Medium	Medium	Medium	83	83
chr21	42760824	42760907	+	chr21:42760824-42760907:+	1	83	0	2	2	2	eciRNA	isocirc,circfl,circnick,cirilong	High	High	High	High	98	98
chr21	42768187	42772520	+	chr21:42768187-42772520:+	4	105,129,96,82	0,839,2515,4251	2	2	2	eciRNA	isocirc,circfl,circnick,cirilong	High	Medium	High	Medium	17	17
chr21	42768187	42772520	.	chr21:42768187-42772520:.|iso1	4	105,129,96,76	0,839,2515,4257	2	2	2	intergenic	isocirc,circfl,circnick,cirilong	High	Low	High	Low	12	12
chr21	42768187	42772520	.	chr21:42768187-42772520:.|iso2	4	225,129,96,82,	0,839,2515,4251,	2	2	2	intergenic	isocirc,circfl,circnick,cirilong	High	Low	High	Low	16	16
chr21	43041967	43042126	-	chr21:43041967-43042126:-	1	159	0	2	2	2	intergenic	isocirc,circfl,cirilong	High	High	High	High	11	11
chr21	43425523	43426022	-	chr21:43425523-43426022:-	1	499	0	2	2	2	ciRNA	circfl,cirilong	Medium	Medium	Medium	Medium	6	6
chr21	44258522	44259711	-	chr21:44258522-44259711:-	3	172,113,80	0,914,1109	2	2	2	eciRNA	isocirc,circfl,circnick,cirilong	High	High	High	High	103	103
chr21	44787919	44788095	-	chr21:44787919-44788095:-	1	176	0	2	2	2	EIciRNA	isocirc,circfl,circnick,cirilong	High	High	High	High	12	12
chr21	44787919	44788095	.	chr21:44787919-44788095:.|iso1	2	46,36,	0,140,	2	2	2	intergenic	isocirc,circfl,circnick,cirilong	High	Low	High	Low	0	0
chr21	45749392	45749475	.	chr21:45749392-45749475:.	1	83,	0,	2	2	2	intergenic	cirilong	Low	Low	Low	Low	18	18
chr21	45749420	45749509	+	chr21:45749420-45749509:+	1	89,	0,	2	2	2	eciRNA	cirilong	Low	Low	Low	Low	0	0
chr21	46227551	46227675	-	chr21:46227551-46227675:-	1	124,	0,	2	2	2	eciRNA	cirilong	Low	Low	Low	Low	9	9
chr21	46245197	46246306	-	chr21:46245197-46246306:-	1	1109,	0,	2	2	2	ciRNA	cirilong	Low	Low	Low	Low	8	8
