isoform_id	chrom	start	end	strand	sel_block_count	sel_block_sizes	sel_block_starts	bsj_id	type
chr21:15791490-15799817:.|160,61|0,8266	chr21	15791490	15799817	.	2	160,61	0,8266	chr21:15791490-15799817:.	intergenic
chr21:15791490-15799817:.|iso1|165,61|0,8266	chr21	15791490	15799817	.	2	165,61	0,8266	chr21:15791490-15799817:.|iso1	intergenic
chr21:15791501-15791664:+|163|0	chr21	15791501	15791664	+	1	163	0	chr21:15791501-15791664:+	eciRNA
chr21:15791501-15799843:+|163,87|0,8255	chr21	15791501	15799843	+	2	163,87	0,8255	chr21:15791501-15799843:+	eciRNA
chr21:15791501-15799843:.|iso1|197,25,87|0,5690,8255	chr21	15791501	15799843	.	3	197,25,87	0,5690,8255	chr21:15791501-15799843:.|iso1	intergenic
chr21:26838438-26838614:-|176|0	chr21	26838438	26838614	-	1	176	0	chr21:26838438-26838614:-	eciRNA
chr21:26977870-26978228:.|358,|0,	chr21	26977870	26978228	.	1	358,	0,	chr21:26977870-26978228:.	intergenic
chr21:26977876-26978232:+|356|0	chr21	26977876	26978232	+	1	356	0	chr21:26977876-26978232:+	intergenic
chr21:32573283-32573368:-|85|0	chr21	32573283	32573368	-	1	85	0	chr21:32573283-32573368:-	eciRNA
chr21:33595730-33595836:.|106,|0,	chr21	33595730	33595836	.	1	106,	0,	chr21:33595730-33595836:.	intergenic
chr21:33595734-33595815:+|81,|0,	chr21	33595734	33595815	+	1	81,	0,	chr21:33595734-33595815:+	antisense
chr21:36043781-36058973:-|175,89,38,96,94,158|0,4526,9801,13327,13602,15034	chr21	36043781	36058973	-	6	175,89,38,96,94,158	0,4526,9801,13327,13602,15034	chr21:36043781-36058973:-	eciRNA
chr21:36709180-36709250:.|70,|0,	chr21	36709180	36709250	.	1	70,	0,	chr21:36709180-36709250:.	intergenic
chr21:36930249-36930417:.|168,|0,	chr21	36930249	36930417	.	1	168,	0,	chr21:36930249-36930417:.	intergenic
chr21:36930250-36930423:-|173|0	chr21	36930250	36930423	-	1	173	0	chr21:36930250-36930423:-	eciRNA
chr21:41403266-41403311:.|45,|0,	chr21	41403266	41403311	.	1	45,	0,	chr21:41403266-41403311:.	intergenic
chr21:41403266-41403343:+|77|0	chr21	41403266	41403343	+	1	77	0	chr21:41403266-41403343:+	eciRNA
chr21:41980590-41980700:+|110|0	chr21	41980590	41980700	+	1	110	0	chr21:41980590-41980700:+	intergenic
chr21:42395953-42396089:+|136,|0,	chr21	42395953	42396089	+	1	136,	0,	chr21:42395953-42396089:+	antisense
chr21:42406307-42413208:.|54,155,185|0,3146,6716	chr21	42406307	42413208	.	3	54,155,185	0,3146,6716	chr21:42406307-42413208:.	intergenic
chr21:42760824-42760907:+|83|0	chr21	42760824	42760907	+	1	83	0	chr21:42760824-42760907:+	eciRNA
chr21:42768187-42772520:+|105,129,96,82|0,839,2515,4251	chr21	42768187	42772520	+	4	105,129,96,82	0,839,2515,4251	chr21:42768187-42772520:+	eciRNA
chr21:42768187-42772520:.|iso1|105,129,96,76|0,839,2515,4257	chr21	42768187	42772520	.	4	105,129,96,76	0,839,2515,4257	chr21:42768187-42772520:.|iso1	intergenic
chr21:43041967-43042126:-|159|0	chr21	43041967	43042126	-	1	159	0	chr21:43041967-43042126:-	intergenic
chr21:43425523-43426022:-|499|0	chr21	43425523	43426022	-	1	499	0	chr21:43425523-43426022:-	ciRNA
chr21:44258522-44259711:-|172,113,80|0,914,1109	chr21	44258522	44259711	-	3	172,113,80	0,914,1109	chr21:44258522-44259711:-	eciRNA
chr21:44787919-44788095:-|176|0	chr21	44787919	44788095	-	1	176	0	chr21:44787919-44788095:-	EIciRNA
chr21:45749392-45749475:.|83,|0,	chr21	45749392	45749475	.	1	83,	0,	chr21:45749392-45749475:.	intergenic
chr21:45749420-45749509:+|89,|0,	chr21	45749420	45749509	+	1	89,	0,	chr21:45749420-45749509:+	eciRNA
chr21:46227551-46227675:-|124,|0,	chr21	46227551	46227675	-	1	124,	0,	chr21:46227551-46227675:-	eciRNA
chr21:46245197-46246306:-|1109,|0,	chr21	46245197	46246306	-	1	1109,	0,	chr21:46245197-46246306:-	ciRNA
chr21:46353986-46354068:+|82|0	chr21	46353986	46354068	+	1	82	0	chr21:46353986-46354068:+	eciRNA
chr21:6112239-6112738:+|499|0	chr21	6112239	6112738	+	1	499	0	chr21:6112239-6112738:+	ciRNA
