bsj_id	chrom	start	end	strand	remap_count	quant_tier	low_confidence
chr21:6112239-6112738:+	chr21	6112239	6112738	+	6.0	tier1	False
chr21:15791490-15799817:.	chr21	15791490	15799817	.	3.0	tier1	False
chr21:15791490-15799817:.|iso1	chr21	15791490	15799817	.	90.0	tier1	False
chr21:15791501-15791664:+	chr21	15791501	15791664	+	0.0	tier1	False
chr21:15791501-15799843:+	chr21	15791501	15799843	+	68.33333333333334	tier2	False
chr21:15791501-15799843:.|iso1	chr21	15791501	15799843	.	5.333333333333333	tier2	False
chr21:15791501-15799843:.|iso2	chr21	15791501	15799843	.	5.333333333333333	tier2	False
chr21:26838438-26838614:-	chr21	26838438	26838614	-	84.0	tier1	False
chr21:26977870-26978228:.	chr21	26977870	26978228	.	0.0	tier1	False
chr21:26977876-26978232:+	chr21	26977876	26978232	+	4.0	tier1	False
chr21:32573283-32573368:-	chr21	32573283	32573368	-	16.0	tier1	False
chr21:33352757-33353783:+	chr21	33352757	33353783	+	1.0	tier1	False
chr21:33591161-33595836:-	chr21	33591161	33595836	-	5.0	tier1	False
chr21:33591161-33597401:.	chr21	33591161	33597401	.	23.0	tier1	False
chr21:33595730-33595836:.	chr21	33595730	33595836	.	5.0	tier1	False
chr21:33595734-33595815:+	chr21	33595734	33595815	+	3.0	tier1	False
chr21:33718796-33755397:.	chr21	33718796	33755397	.	1.0	tier1	False
chr21:36040574-36043956:.	chr21	36040574	36043956	.	30.0	tier1	False
chr21:36043781-36058973:-	chr21	36043781	36058973	-	187.0	tier1	False
chr21:36709167-36709250:+	chr21	36709167	36709250	+	0.0	tier1	False
chr21:36709180-36709250:.	chr21	36709180	36709250	.	0.0	tier1	False
chr21:36930249-36930417:.	chr21	36930249	36930417	.	0.0	tier1	False
chr21:36930250-36930423:-	chr21	36930250	36930423	-	6.0	tier1	False
chr21:36938831-36962170:.	chr21	36938831	36962170	.	3.0	tier1	False
chr21:38814780-38817091:+	chr21	38814780	38817091	+	72.0	tier1	False
chr21:41403266-41403311:.	chr21	41403266	41403311	.	0.0	tier1	False
chr21:41403266-41403343:+	chr21	41403266	41403343	+	136.0	tier2	False
chr21:41980590-41980700:+	chr21	41980590	41980700	+	37.0	tier1	False
chr21:42088293-42090438:+	chr21	42088293	42090438	+	4.0	tier1	False
chr21:42271069-42273435:+	chr21	42271069	42273435	+	5.0	tier1	False
chr21:42395941-42396091:.	chr21	42395941	42396091	.	0.0	tier1	False
chr21:42395953-42396089:+	chr21	42395953	42396089	+	34.0	tier1	False
chr21:42406307-42413208:.	chr21	42406307	42413208	.	83.0	tier1	False
chr21:42406307-42413222:.	chr21	42406307	42413222	.	0.0	tier1	False
chr21:42486370-42492863:-	chr21	42486370	42492863	-	23.0	tier1	False
chr21:42760327-42760907:+	chr21	42760327	42760907	+	3.0	tier1	False
chr21:42760824-42760907:+	chr21	42760824	42760907	+	98.0	tier2	False
chr21:42768187-42772520:+	chr21	42768187	42772520	+	17.0	tier1	False
chr21:42768187-42772520:.|iso1	chr21	42768187	42772520	.	12.0	tier1	False
chr21:42768187-42772520:.|iso2	chr21	42768187	42772520	.	16.0	tier1	False
chr21:43004325-43028874:.	chr21	43004325	43028874	.	19.0	tier1	False
chr21:43041967-43042126:-	chr21	43041967	43042126	-	11.0	tier1	False
chr21:43425523-43426022:-	chr21	43425523	43426022	-	6.0	tier1	False
chr21:44258522-44259711:-	chr21	44258522	44259711	-	103.0	tier1	False
chr21:44787919-44788095:-	chr21	44787919	44788095	-	12.0	tier1	False
chr21:44787919-44788095:.|iso1	chr21	44787919	44788095	.	0.0	tier1	False
chr21:45749392-45749475:.	chr21	45749392	45749475	.	18.0	tier1	False
chr21:45749420-45749509:+	chr21	45749420	45749509	+	0.0	tier1	False
chr21:46227551-46227675:-	chr21	46227551	46227675	-	9.0	tier1	False
chr21:46245197-46246306:-	chr21	46245197	46246306	-	8.0	tier1	False
chr21:46353986-46354068:+	chr21	46353986	46354068	+	8.0	tier1	False
